countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
BRA,1970-01-01 00:00:00.000002022,1920095779022.73,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002021,1649622821885.14,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002020,1476107231194.11,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002019,1873288205186.45,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002018,1916933898038.36,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002017,2063514977334.32,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002016,1795693482652.52,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002015,1802212206904.68,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002014,2456043727198.85,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002013,2472819535742.73,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002012,2465227803011.57,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002011,2616156223977.47,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002010,2208837745214.23,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002009,1666996438681.46,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002008,1695855083552.05,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002007,1397114486471.38,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002006,1107626541710.74,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002005,891633839853.105,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002004,669289424806.307,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002003,558233745651.874,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002002,509795273806.715,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002001,559983634798.981,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,1970-01-01 00:00:00.000002000,655448231983.527,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
