countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
BRA,2023,,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2022,1920095779022.73,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2021,1649622821885.14,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2020,1476107231194.11,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2019,1873288205186.45,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2018,1916933898038.36,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2017,2063514977334.32,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2016,1795693482652.52,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2015,1802212206904.68,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2014,2456043727198.85,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2013,2472819535742.73,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2012,2465227803011.57,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2011,2616156223977.47,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2010,2208837745214.23,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2009,1666996438681.46,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2008,1695855083552.05,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2007,1397114486471.38,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2006,1107626541710.74,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2005,891633839853.105,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2004,669289424806.307,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2003,558233745651.874,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2002,509795273806.715,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2001,559983634798.981,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
BRA,2000,655448231983.527,,,0,NY.GDP.MKTP.CD,GDP (current US$),BR,Brazil
