countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
BRA,2023,,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2022,204.482120615775,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2021,187.117425058296,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2020,172.774291252888,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2019,167.397860280061,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2018,161.373814183906,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2017,155.668786230018,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2016,150.482594206408,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2015,138.388614560103,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2014,126.927212865611,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2013,119.372104441451,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2012,112.398549260784,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2011,106.636449622131,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2010,100.0,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2009,95.202981748031,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2008,90.7662937251916,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2007,85.8890058743968,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2006,82.8714308457339,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2005,79.5436673306746,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2004,74.430627668128,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2003,69.8241962003047,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2002,60.8675805806435,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2001,56.1249316036126,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
BRA,2000,52.5315827425714,,,1,FP.CPI.TOTL,Consumer price index (2010 = 100),BR,Brazil
