countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
BRA,2023,7.776,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2022,9.23,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2021,13.16,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2020,13.7,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2019,11.94,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2018,12.33,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2017,12.79,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2016,11.58,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2015,8.54,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2014,6.76,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2013,7.07,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2012,7.25,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2011,7.58,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2010,8.426,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2009,9.42,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2008,8.27,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2007,9.28,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2006,9.69,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2005,10.55,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2004,10.07,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2003,11.17,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2002,10.64,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2001,10.65,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
BRA,2000,10.894,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",BR,Brazil
